60167908	64321620
60518015	66949727
60524826	62969789
60756034	62844636
60835243	62290489
61094975	66090991
61230539	61695417
61407427	65523468
61411685	67709496
61507783	62578477
61722191	67061569
61836202	68468710
61962674	64512134
62053006	67536172
62290489	60051316
62291534	69289272
62303171	67049047
62326355	65485245
62373166	61962674
62719383	63612352
62837759	64930518
63108612	60300340
63146246	69448283
63377299	65973262
63431715	62751915
63502945	68890423
63753698	61588123
64178115	65551300
64266049	62291534
64501878	65975046
64849062	66591995
64855713	69429557
64885222	62994696
64968173	68253978
64988770	60010885
65313092	63392301
65523468	60044784
65551300	67177399
65571438	66202636
65825406	69855425
65975046	63666492
66319493	61182628
66591995	65628921
67049047	62744027
67134533	69975588
67174271	61537552
67344026	61650728
67467438	62053006
67508618	68875268
67984909	62061889
68217804	63836158
68253978	69350490
68317231	67832260
68468710	65368683
68896312	69492739
69429557	67392252
69707978	67174271
69711460	64750210
